id,acronym,name,organization,organization_group,event_type,topics,categories,location,mode,edition,indexing,event_start,event_end,abstract_due,paper_due,notification,camera_ready,first_deadline,first_gate,deadline_timezone,confidence,source_basis,source_url,previous_cycle_edition,previous_cycle_closed
cpal-4th-2027,CPAL,Conference on Parsimony and Learning 2027,PMLR,Other,Academic conference,"ML (sparsity, efficient models)",AI & machine learning,"Tokyo, Japan (Hitotsubashi Hall)",In person,"4th, 2027",DBLP,2027-03-23,2027-03-26,2026-11-23,2026-12-05,2027-02-01,2027-02-12,2026-11-23,Abstract,AoE,verified,Primary venue page,https://cpal.cc/deadlines/,,
ccgrid-2027,CCGrid,"IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing",IEEE/ACM,IEEE / ACM,Academic conference,Cloud|Grid,Systems & cloud|Networking,"Dallas–Fort Worth, TX, USA",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-05-24,2027-05-27,2026-11-24,2026-12-01,2027-02-01,2027-03-16,2026-11-24,Abstract,AoE,verified,Primary venue page,https://hpcclab.org/ccgrid27-call-for-papers/,,
sigmod-industrial-2027,SIGMOD Industrial,SIGMOD 2027 Industrial Track,ACM,ACM,Academic conference,Databases (industry),Data & databases,"Huntington Beach, CA, USA",In person,2027,"ACM DL, DBLP, Scopus",2027-06-13,2027-06-19,,2026-11-24,2027-03-04,2027-03-18,2026-11-24,Paper,See source,verified,Primary venue page,https://2027.sigmod.org/calls_papers_important_dates.shtml,,
eurovis-eurovis-2027-29th,EuroVis,Eurographics Conference on Visualization (full papers),Eurographics / Wiley (Computer Graphics Forum),Other,Academic conference,Visualization,Other,"Stuttgart, Germany",In person,EuroVis 2027 (29th),"Scopus, DBLP, WoS (CGF journal)",2027-05-31,2027-06-06,2026-11-25,2026-12-02,,,2026-11-25,Abstract,See source,projected,Historical cadence projection,https://eurovis27.github.io/web/,,
euros-p-2027,EuroS&P,IEEE European Symposium on Security and Privacy,IEEE,IEEE,Academic conference,Security|Privacy,Security & privacy,"Madrid, Spain",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-07-05,2027-07-09,2026-11-25,2026-12-02,2027-03-18,,2026-11-25,Abstract,AoE,verified,Primary venue page,https://eurosp2027.ieee-security.org/cfp.html,,
dsn-2027,DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,IEEE/IFIP,IEEE,Academic conference,Dependability,Systems & cloud|Networking,"Berlin, Germany",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-06-22,2027-06-25,2026-11-25,2026-12-02,2027-03-18,2027-04-24,2026-11-25,Abstract,AoE,verified,Primary venue page,https://dsn2027-berlin.github.io/call-for-contributions/,,
dasfaa-2027,DASFAA,International Conference on Database Systems for Advanced Applications,Springer,Springer,Academic conference,Databases,Data & databases|Systems & cloud,"Shenyang, China",In person,2027,"Scopus, DBLP, Scholar",2027-05-27,2027-05-30,,2026-11-25,2027-01-25,2027-02-20,2026-11-25,Paper,AoE,verified,Primary venue page,https://dasfaa2027.github.io/,,
edbt-industrial-2027,EDBT Industrial,EDBT 2027 Industrial and Application Track,OpenProceedings,Other,Academic conference,Databases,Data & databases,"Lille, France",In person,2027,Scopus/DBLP,2027-04-06,2027-04-09,,2026-11-27,2027-01-29,2027-02-12,2026-11-27,Paper,See source,verified,Primary venue page,https://edbticdt2027.github.io/?contents=call_for_IAP.html,,
acisp-acisp-2027-32nd,ACISP,Australasian Conference on Information Security and Privacy,Springer LNCS,Springer,Academic conference,Security|privacy,Security & privacy,"Melbourne, Australia",In person,ACISP 2027 (32nd),"Scopus, DBLP",2027-07-07,2027-07-10,,2026-11-30,2027-01-15,2027-04-30,2026-11-30,Paper,See source,verified,Primary venue page,https://acisp.org/,,
devoxx-greece-2027,Devoxx Greece,Devoxx Greece 2027,Devoxx,Other,Industry conference,General developer|JVM|cloud|data,Data & databases|Systems & cloud,"Athens, Greece",In person,2027,,,,,2026-11-30,,,2026-11-30,Paper,See source,projected,Historical cadence projection,https://devoxx.gr/,,
fossasia-2027,FOSSASIA,FOSSASIA Summit 2027,FOSSASIA,Other,Summit,Open source (Asia),Other,"Bangkok, Thailand",In person,2027,,2027-03-07,2027-03-09,,2026-11-30,2026-12-22,,2026-11-30,Paper,GMT,verified,Primary venue page,https://eventyay.com/fossasia/summit2027/cfp,,
pets-2027,PETS,Privacy Enhancing Technologies Symposium (PoPETs),PETS,Other,Academic conference,Privacy,Security & privacy,"Delft, Netherlands",In person,2027,"DBLP, Scholar",2027-07-19,2027-07-24,,2026-11-30,2027-02-01,,2026-11-30,Paper,AoE,verified,Primary venue page,https://petsymposium.org/cfp27.php,,
codaspy-2027,CODASPY,ACM Conference on Data and Application Security and Privacy,ACM,ACM,Academic conference,Data Privacy,Data & databases|Security & privacy,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,,2026-12-01,,,2026-12-01,Paper,See source,announced,Published via a secondary index,https://www.codaspy.org/,,
ai-council-2027,AI Council,AI Council (formerly Data Council),Zero Prime,Other,Industry conference,Data|AI Engineering,Data & databases|AI & machine learning,"San Francisco, CA, USA",In person,2027,,,,,2026-12-01,,,2026-12-01,Paper,See source,projected,Historical cadence projection,https://www.aicouncil.com/,,
fosdem-devrooms-2027,FOSDEM devrooms,"FOSDEM 2027 developer rooms (Databases, HPC/Big Data/Data Science, Monitoring & Observability, Software Performance, AI Plumbers, Distributed Systems, Rust, Containers, Kernel, SDS, Energy, Python, Data Analytics, PostgreSQL)",FOSDEM VZW,Other,Open-source meetup,Open source developer rooms,Data & databases|Systems & cloud|AI & machine learning|Software engineering|Programming languages|Open source & community,"Brussels, Belgium (ULB)",In person,2027,,2027-01-30,2027-01-31,,2026-12-01,,,2026-12-01,Paper,See source,projected,Historical cadence projection,https://fosdem.org/2027/news/call-for-devrooms/,,
osdi-2027,OSDI,USENIX Symposium on Operating Systems Design and Implementation,USENIX,USENIX,Academic conference,Systems,Systems & cloud,"Baltimore, MD, USA",In person,2027,"Scopus, DBLP, Scholar",2027-07-07,2027-07-09,2026-12-01,2026-12-08,2027-03-16,2027-06-03,2026-12-01,Abstract,EST,verified,Primary venue page,https://www.usenix.org/conference/osdi27/call-for-papers,,
energy-hpc-ai-2027,Energy HPC & AI,"20th Annual Energy HPC & AI Conference (Rice University, Ken Kennedy Institute)","Ken Kennedy Institute, Rice University",Other,Industry conference,HPC|AI infrastructure,Systems & cloud|AI & machine learning,"Houston, TX, USA",In person,2027,,2027-02-23,2027-02-25,,2026-12-02,2026-12-18,,2026-12-02,Paper,See source,verified,Primary venue page,https://kenkennedy.rice.edu/energyhpc-ai-participation,,
ieee-vr-posters-2027,IEEE VR Posters,IEEE VR 2027 Posters,IEEE (VR Abstracts and Workshops proceedings),IEEE,Academic conference,XR,"Graphics, vision & XR","Melbourne, Australia",In person,2027,"IEEE Xplore, Scopus, DBLP, EI",2027-02-27,2027-03-03,2026-12-02,2026-12-07,2027-01-06,2027-01-12,2026-12-02,Abstract,See source,verified,Primary venue page,https://ieeevr.org/2027/contribute/posters/,,
pods-2027,PODS,ACM Symposium on Principles of Database Systems,ACM,ACM,Academic conference,Database Theory,Data & databases|Systems & cloud,"Huntington Beach, CA, USA",In person,2027,"Scopus, DBLP, Scholar",2027-06-13,2027-06-19,2026-12-03,2026-12-10,2027-02-08,,2026-12-03,Abstract,AoE,verified,Primary venue page,https://2027.sigmod.org/calls_papers_important_dates.shtml,,
ispass-2027,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,IEEE,IEEE,Academic conference,Performance,Systems & cloud,TBA,TBA,2027,"Scopus, IEEE Xplore, Scholar",,,2026-12-04,2026-12-11,,,2026-12-04,Abstract,See source,projected,Historical cadence projection,https://ispass.org/,,
conext-2027,CoNEXT,ACM International Conference on emerging Networking EXperiments and Technologies,ACM,ACM,Academic conference,Networking,Networking,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,2026-12-05,2026-12-12,,,2026-12-05,Abstract,See source,projected,Historical cadence projection,https://www.sigcomm.org/events/conext-conference,,
fosdem-2027,FOSDEM,FOSDEM,FOSDEM,Other,Open-source meetup,Open Source,Open source & community,"Brussels, Belgium",In person,2027,,2027-01-30,2027-01-31,,2026-12-05,,,2026-12-05,Paper,See source,projected,Historical cadence projection,https://fosdem.org/2027/,,
ieee-vr-demos-2027,IEEE VR Demos,IEEE VR 2027 Research Demos,IEEE (VR Abstracts and Workshops proceedings),IEEE,Academic conference,XR,"Graphics, vision & XR","Melbourne, Australia",In person,2027,"IEEE Xplore, Scopus, DBLP, EI",2027-02-27,2027-03-03,,2026-12-07,2027-01-07,2027-01-12,2026-12-07,Paper,See source,verified,Primary venue page,https://ieeevr.org/2027/contribute/demos/,,
dolap-29th-2027,DOLAP,Intl Workshop on Data management fOr anaLytics and Ai Processing (at EDBT/ICDT 2027),CEUR-WS,Other,Academic conference,Data warehousing|analytics,Data & databases|AI & machine learning,"Lille, France",In person,29th (2027),"DBLP, Scopus",2027-04-06,2027-04-06,,2026-12-07,2027-02-02,2027-02-19,2026-12-07,Paper,See source,verified,Primary venue page,https://dolapworkshop.github.io/dolap-2027/important-dates,,
ics-2027,ICS,ACM International Conference on Supercomputing,ACM,ACM,Academic conference,HPC,Systems & cloud,"Atlanta, GA, USA (FCRC)",In person,2027,"Scopus, DBLP, Scholar",,,2026-12-08,2026-12-15,,,2026-12-08,Abstract,See source,projected,Historical cadence projection,https://www.ics-conference.org/,,
middleware-2027,Middleware,ACM/IFIP International Middleware Conference,ACM,ACM,Academic conference,Middleware,Systems & cloud,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,2026-12-09,2026-12-12,,,2026-12-09,Abstract,See source,projected,Historical cadence projection,https://middleware-conf.github.io/,,
icbda-2027-12th,ICBDA,IEEE International Conference on Big Data Analytics,IEEE (technical co-sponsorship in past editions),IEEE,Academic conference,Big data analytics,Data & databases,"Bangkok, Thailand",In person,2027 (12th),"IEEE Xplore, EI, Scopus",2027-04-26,2027-04-29,2026-12-10,2026-12-10,2027-01-10,2027-02-10,2026-12-10,Abstract,See source,verified,Primary venue page,https://www.icbda.org/,,
isc-tutorials-2027,ISC Tutorials,ISC 2027 Tutorials,ISC Group,Other,Academic conference,HPC,Systems & cloud,"Hamburg, Germany",In person,2027,n/a,2027-06-07,2027-06-07,,2026-12-10,2027-02-11,,2026-12-10,Paper,See source,verified,Primary venue page,https://isc-hpc.com/submissions/tutorial/,,
asiaccs-22nd-2027,AsiaCCS,ACM Asia Conference on Computer and Communications Security,ACM,ACM,Academic conference,Security|privacy,Security & privacy|Networking,Macau,In person,22nd (2027),"ACM DL, DBLP, Scopus",2027-07-12,2027-07-16,,2026-12-11,2027-03-31,2027-05-07,2026-12-11,Paper,See source,verified,Primary venue page,https://asiaccs2027.cityu.edu.mo/important-dates/,,
dbta-data-summit-2027,DBTA Data Summit,Data Summit (DBTA),DBTA,Other,Summit,Data Management,Data & databases,"Boston, MA, USA",In person,2027,,2027-05-12,2027-05-13,,2026-12-11,,,2026-12-11,Paper,See source,projected,Historical cadence projection,https://speakers.infotoday.com/ds-speakers/,,
pasc-pasc27,PASC,Platform for Advanced Scientific Computing Conference,ACM,ACM,Academic conference,HPC,Systems & cloud,"Lugano, Switzerland",In person,PASC27,"ACM DL, DBLP, Scopus",2027-06-28,2027-06-30,,2026-12-12,2027-02-04,,2026-12-12,Paper,See source,verified,Primary venue page,https://pasc-conference.org/editions/pasc27/submission/,,
arcs-2027,ARCS,International Conference on Architecture of Computing Systems,Springer LNCS,Springer,Academic conference,Computer architecture|HPC systems,Systems & cloud|Architecture & hardware,"Magdeburg, Germany",In person,2027,Scopus/DBLP,2027-03-09,2027-03-11,2026-12-14,2026-12-21,2027-02-08,2027-02-24,2026-12-14,Abstract,See source,verified,Primary venue page,https://arcs-conference.org/,,
isc-2027,ISC,ISC High Performance (research papers),ISC Group / IEEE,IEEE,Academic conference,HPC,Systems & cloud,"Hamburg, Germany",In person,2027,"IEEE Xplore, Scholar",2027-06-08,2027-06-10,2026-12-14,2026-12-21,2027-03-15,2027-04-08,2026-12-14,Abstract,See source,verified,Primary venue page,https://isc-hpc.com/submissions/research-paper/,,
fosdem-pgday-2027,FOSDEM PGDay,FOSDEM PGDay 2027 and PostgreSQL devroom,PostgreSQL Europe,Other,Open-source meetup,PostgreSQL,Open source & community,"Brussels, Belgium",In person,2027,,,,,2026-12-15,,,2026-12-15,Paper,See source,projected,Historical cadence projection,https://www.postgresql.eu/events/series/fosdem-pgday-2/,,
rustweek-2027,RustWeek,RustWeek 2027,RustNL,Other,Open-source meetup,Rust|systems programming,Systems & cloud|Programming languages|Open source & community,"Utrecht, Netherlands",In person,2027,,2027-05-24,2027-05-29,,2026-12-15,,,2026-12-15,Paper,See source,verified,Primary venue page,https://2027.rustweek.org/cfp/,,
soocon-2027,SOOCon,State of Open Con 2027 (OpenUK),OpenUK,Other,Open-source meetup,"Open source, open data, AI openness",Data & databases|AI & machine learning|Open source & community,"London, UK",In person,2027,,2027-02-09,2027-02-10,,2026-12-15,,,2026-12-15,Paper,See source,projected,Historical cadence projection,https://stateofopencon.com/,,
ifip-sec-sec-2027-42nd,IFIP SEC,IFIP TC-11 International Conference on ICT Systems Security and Privacy Protection,Springer IFIP AICT,Springer,Academic conference,Security|privacy,Systems & cloud|Security & privacy,"Linkoping, Sweden",In person,SEC 2027 (42nd),"Scopus, DBLP",,,,2026-12-18,,,2026-12-18,Paper,See source,projected,Historical cadence projection,https://ifipsec.org/,,
pycon-us-2027,PyCon US,PyCon US,PSF,Other,Open-source meetup,Developer|Python,Programming languages|Open source & community,"Long Beach, CA, USA",In person,2027,,,,,2026-12-18,,,2026-12-18,Paper,See source,projected,Historical cadence projection,https://us.pycon.org/,,
datagrillen-2027,DataGrillen,DataGrillen 2027,DataGrillen (community),Other,Open-source meetup,Microsoft data platform|data engineering,Data & databases|Open source & community,"Lingen, Germany",In person,2027,,2027-05-13,2027-05-14,,2026-12-20,,,2026-12-20,Paper,CET,verified,Primary venue page,https://sessionize.com/datagrillen-2027/,,
pycon-de-pydata-2027,PyCon DE & PyData,PyCon DE & PyData 2027,Python Softwareverband / NumFOCUS (Pioneers Hub),Other,Open-source meetup,"Python, data engineering, applied AI",Data & databases|AI & machine learning|Programming languages|Open source & community,"HCC Heidelberg, Germany",In person,2027,,2027-04-20,2027-04-22,,2026-12-21,,,2026-12-21,Paper,See source,projected,Historical cadence projection,https://pycon.de/,,
sqlbits-2027,SQLBits,SQLBits,SQLBits (community),Other,Open-source meetup,Data Platform,Data & databases|Open source & community,UK (TBA),In person,2027,,,,,2026-12-21,,,2026-12-21,Paper,See source,projected,Historical cadence projection,https://sqlbits.com/speak/,,
current-london-2027,Current London,Current London 2027,Confluent,Other,Industry conference,"Data streaming (Kafka, Flink, Iceberg)",Data & databases,"London, UK",In person,2027,,,,,2026-12-22,,,2026-12-22,Paper,See source,projected,Historical cadence projection,https://current.confluent.io/london,,
prefosdem-mysql-days-2027,preFOSDEM MySQL Days,preFOSDEM MySQL Belgian Days 2027,MySQL Community Team (Oracle) and community,Other,Open-source meetup,MySQL|MariaDB,Open source & community,"Brussels, Belgium",In person,2027,,,,,2026-12-25,,,2026-12-25,Paper,See source,projected,Historical cadence projection,https://sessionize.com/prefosdem-mysql-belgian-days/,,
debezium-showcase-2026-monthly-online-series,Debezium Showcase,Debezium Community Showcase,Debezium community (Red Hat / Commonhaus),Other,Open-source meetup,Change data capture|streaming,Data & databases|Open source & community,Online,Online,2026 (monthly online series),,2026-12-01,,,2026-12-31,,,2026-12-31,Paper,See source,verified,Primary venue page,https://sessionize.com/debezium-community-showcase/,,
devopsdays-raleigh-2027,DevOpsDays Raleigh,DevOpsDays Raleigh 2027,devopsdays.org,Other,Industry conference,DevOps|SRE,Software engineering,"Raleigh, NC, USA",In person,2027,,2027-04-27,2027-04-28,,2027-01-01,,,2027-01-01,Paper,See source,verified,Primary venue page,https://devopsdays.org/events/2027-raleigh/welcome/,,
rejekts-eu-2027,Rejekts EU,Cloud Native Rejekts EU 2027,Cloud Native Rejekts (community),Other,Open-source meetup,Cloud native,Systems & cloud|Open source & community,"Barcelona, Spain (venue TBD)",In person,2027,,2027-03-13,2027-03-14,,2027-01-03,,,2027-01-03,Paper,See source,verified,Primary venue page,https://cloud-native.rejekts.io/,,
ldx3-london-2027,LDX3 London,LDX3 London 2027 (LeadDev + StaffPlus),LeadDev,Other,Industry conference,Engineering leadership|staff+ architecture,Architecture & hardware,"London, UK",In person,2027,,2027-06-28,2027-06-29,,2027-01-04,,,2027-01-04,Paper,See source,projected,Historical cadence projection,https://leaddev.com/leaddev-call-proposals,,
ccs-2027,CCS,ACM Conference on Computer and Communications Security,ACM,ACM,Academic conference,Security|Privacy,Security & privacy|Networking,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,2027-01-06,2027-01-13,,,2027-01-06,Abstract,See source,projected,Historical cadence projection,https://www.sigsac.org/ccs.html,,
nordic-pgday-2027,Nordic PGDay,Nordic PGDay 2027,PostgreSQL Europe,Other,Open-source meetup,PostgreSQL,Open source & community,"Stockholm, Sweden",In person,2027,,2027-03-16,2027-03-16,,2027-01-06,,,2027-01-06,Paper,See source,projected,Historical cadence projection,https://www.postgresql.eu/events/,,
e-energy-18th-2027,e-Energy,ACM Intl Conference on Future and Sustainable Energy Systems,ACM,ACM,Academic conference,Energy-efficient computing,Systems & cloud,"Atlanta, GA, USA",In person,18th (2027),"ACM DL, DBLP, Scopus",2027-06-05,2027-06-11,2027-01-08,2027-01-15,2027-03-05,2027-04-30,2027-01-08,Abstract,See source,verified,Primary venue page,https://energy.acm.org/conferences/eenergy/2027/,,
issta-2027,ISSTA,ACM SIGSOFT International Symposium on Software Testing and Analysis,ACM,ACM,Academic conference,Software Testing,Software engineering,Singapore,In person,2027,"Scopus, DBLP, Scholar",2027-09-07,2027-09-10,2027-01-08,2027-01-11,2027-04-20,2027-07-22,2027-01-08,Abstract,See source,verified,Primary venue page,https://conf.researchr.org/dates/issta-2027,,
esorics-esorics-2027-32nd,ESORICS,European Symposium on Research in Computer Security,Springer LNCS,Springer,Academic conference,Security|privacy,Security & privacy,TBA,TBA,ESORICS 2027 (32nd),"Scopus, DBLP",,,,2027-01-08,,,2027-01-08,Paper,See source,projected,Historical cadence projection,https://sites.google.com/di.uniroma1.it/esorics2026/call-for/papers,,
devoxx-france-2027-15th,Devoxx France,Devoxx France 2027,Devoxx France,Other,Industry conference,General developer|data|architecture|cloud,Data & databases|Systems & cloud|Architecture & hardware,"Paris, France",In person,2027 (15th),,2027-04-07,2027-04-09,,2027-01-10,,,2027-01-10,Paper,See source,projected,Historical cadence projection,https://www.devoxx.fr/en/venir-presenter/,,
eurollvm-2027,EuroLLVM,EuroLLVM Developers' Meeting 2027,LLVM Foundation,Other,Industry conference,Compilers|performance,Systems & cloud|Architecture & hardware|Programming languages,TBA,TBA,2027,,,,,2027-01-11,,,2027-01-11,Paper,See source,projected,Historical cadence projection,https://llvm.org/devmtg/,,
sigmod-demo-2027,SIGMOD Demo,SIGMOD 2027 Demonstration Track,ACM,ACM,Academic conference,Databases,Data & databases,"Huntington Beach, CA, USA",In person,2027,"ACM DL, DBLP, Scopus",2027-06-13,2027-06-19,,2027-01-11,,2027-04-01,2027-01-11,Paper,See source,verified,Primary venue page,https://2027.sigmod.org/calls_papers_important_dates.shtml,,
cf-2027,CF,ACM Intl Conference on Computing Frontiers,ACM,ACM,Academic conference,Computer systems,Systems & cloud,TBA,TBA,2027,"ACM DL, DBLP, Scopus",,,2027-01-12,2027-01-19,,,2027-01-12,Abstract,See source,projected,Historical cadence projection,https://www.computingfrontiers.org/,,
pycon-italia-2027,PyCon Italia,PyCon Italia 2027,Python Italia,Other,Open-source meetup,"Python, data, AI",Data & databases|AI & machine learning|Programming languages|Open source & community,"Bologna, Italy",In person,2027,,2027-06-02,2027-06-05,,2027-01-12,,,2027-01-12,Paper,See source,projected,Historical cadence projection,https://pycon.it/call-for-proposals,,
pycon-lt-2027,PyCon LT,PyCon Lithuania 2027,PyCon Lithuania,Other,Open-source meetup,"Python, data science, DevOps",Data & databases|Software engineering|Programming languages|Open source & community,"Vilnius, Lithuania",In person,2027,,2027-04-28,2027-04-30,,2027-01-13,2027-02-01,,2027-01-13,Paper,See source,verified,Primary venue page,https://pycon.lt/2027/cfp,,
sigir-2027,SIGIR,ACM SIGIR Conference on Research and Development in Information Retrieval,ACM,ACM,Academic conference,Information Retrieval,Other,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,2027-01-14,2027-01-21,,,2027-01-14,Abstract,See source,projected,Historical cadence projection,https://sigir.org/,,
atc-2027,ATC,ACM SIGOPS Annual Technical Conference (formerly USENIX ATC),ACM SIGOPS,ACM,Academic conference,Systems,Systems & cloud,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,,2027-01-15,,,2027-01-15,Paper,See source,projected,Historical cadence projection,https://atc27.hotcrp.com/,,
hotos-2027,HotOS,ACM Workshop on Hot Topics in Operating Systems (HotOS XXI),ACM,ACM,Academic conference,Systems,Systems & cloud,"Burghausen, Germany",In person,2027,"Scopus, DBLP, Scholar",2027-05-24,2027-05-26,,2027-01-15,,,2027-01-15,Paper,See source,projected,Historical cadence projection,https://sigops.org/s/conferences/hotos/2027/cfp.html,,
acl-2027,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,Other,Academic conference,NLP|LLM,AI & machine learning,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,,2027-01-15,,,2027-01-15,Paper,See source,projected,Historical cadence projection,https://www.aclweb.org/portal/,,
iceberg-summit-2027,Iceberg Summit,Apache Iceberg Summit,ASF/Linux Fdn,Other,Summit,Table Formats,Other,TBA,TBA,2027,,,,,2027-01-15,,,2027-01-15,Paper,See source,projected,Historical cadence projection,https://www.icebergsummit.org/,,
oss-na-2027,OSS NA,Open Source Summit North America,Linux Fdn,Other,Summit,Open Source,Other,"Vancouver, Canada",In person,2027,,2027-05-17,2027-05-19,,2027-01-15,,,2027-01-15,Paper,See source,projected,Historical cadence projection,https://events.linuxfoundation.org/,,
pgconf-dev-2027,PGConf.dev,PGConf.dev (PostgreSQL Development Conference),PG Community,Other,Open-source meetup,Databases,Data & databases|Open source & community,TBA,TBA,2027,,,,,2027-01-15,,,2027-01-15,Paper,See source,projected,Historical cadence projection,https://2026.pgconf.dev/cfp,,
snowflake-summit-2027,Snowflake Summit,Snowflake Summit,Snowflake,Other,Summit,Data Platform,Data & databases,"San Francisco, CA, USA",In person,2027,,2027-06-07,2027-06-10,,2027-01-15,,,2027-01-15,Paper,See source,projected,Historical cadence projection,https://www.snowflake.com/summit/,,
ddd-europe-2027,DDD Europe,DDD Europe 2027,Aardling,Other,Industry conference,Software design|architecture,Architecture & hardware,"Amsterdam, Netherlands",In person,2027,,2027-06-03,2027-06-04,,2027-01-16,,,2027-01-16,Paper,See source,verified,Primary venue page,https://2027.dddeurope.com/cfp/,,
icml-2027,ICML,International Conference on Machine Learning,PMLR,Other,Academic conference,Machine Learning,AI & machine learning,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,2027-01-16,2027-01-22,2027-05-01,,2027-01-16,Abstract,AoE,verified,Primary venue page,https://icml.cc/,,
hpsf-con-2027,HPSF Con,HPSF Conference 2027 (High Performance Software Foundation),Linux Foundation / HPSF,Linux Foundation,Open-source meetup,HPC software,Systems & cloud|Open source & community,"Montreal, Canada",In person,2027,,2027-04-12,2027-04-16,,2027-01-17,2027-02-09,,2027-01-17,Paper,EST,verified,Primary venue page,https://events.linuxfoundation.org/hpsf-conference/program/cfp/,,
icfec-2027-11th,ICFEC,IEEE International Conference on Fog and Edge Computing,IEEE,IEEE,Academic conference,Edge|distributed systems,Systems & cloud,"Denton (Dallas-Fort Worth), TX, USA",In person,2027 (11th),"IEEE Xplore, Scopus, DBLP, EI",2027-05-24,2027-05-27,,2027-01-18,,,2027-01-18,Paper,See source,projected,Historical cadence projection,https://icfec2026.hanyang.ac.kr/,,
grafanacon-2027,GrafanaCON,GrafanaCON 2027,Grafana Labs,Other,Industry conference,Observability|dashboards,Software engineering,TBA,TBA,2027,,,,,2027-01-19,,,2027-01-19,Paper,See source,projected,Historical cadence projection,https://grafana.com/events/grafanacon/,,
ocp-emea-2027,OCP EMEA,OCP EMEA Summit,OCP Foundation,Other,Summit,Data-Center Hardware,Data & databases|Architecture & hardware,"Hamburg, Germany",In person,2027,,2027-04-06,2027-04-08,,2027-01-19,,,2027-01-19,Paper,PST,projected,Historical cadence projection,https://www.opencompute.org/summit/emea-summit,,
usenix-security-2027,USENIX Security,USENIX Security Symposium,USENIX,USENIX,Academic conference,Security|Privacy,Security & privacy,"Denver, CO, USA",In person,2027,"Scopus, DBLP, Scholar",2027-08-11,2027-08-13,2027-01-19,2027-01-26,2027-05-06,2027-06-03,2027-01-19,Abstract,AoE,verified,Primary venue page,https://www.usenix.org/conference/usenixsecurity27/call-for-papers,,
collas-2027,CoLLAs,Conference on Lifelong Learning Agents,PMLR,Other,Academic conference,Agents|ML,AI & machine learning,TBA,TBA,2027,"DBLP, Scholar",,,,2027-01-20,,,2027-01-20,Paper,See source,projected,Historical cadence projection,https://lifelong-ml.cc/,,
icdcs-2027,ICDCS,IEEE International Conference on Distributed Computing Systems,IEEE,IEEE,Academic conference,Distributed Computing,Systems & cloud,TBA,TBA,2027,"Scopus, IEEE Xplore, Scholar",,,,2027-01-20,,,2027-01-20,Paper,See source,projected,Historical cadence projection,https://icdcs.org/,,
ijcai-2027,IJCAI,International Joint Conference on Artificial Intelligence,IJCAI,Other,Academic conference,Artificial Intelligence,AI & machine learning,TBA,TBA,2027,"Scopus, DBLP, Scholar",,,,2027-01-20,,,2027-01-20,Paper,See source,projected,Historical cadence projection,https://www.ijcai.org/,,
isc-posters-2027,ISC Posters,ISC 2027 Research Posters and Project Posters,ISC Group,Other,Academic conference,HPC,Systems & cloud,"Hamburg, Germany",In person,2027,n/a,2027-06-08,2027-06-10,,2027-01-20,2027-03-02,,2027-01-20,Paper,See source,verified,Primary venue page,https://isc-hpc.com/submissions/research-poster/,,
conf42-ml-2027,Conf42 ML,Conf42 Machine Learning 2027,Conf42,Other,Industry conference,ML systems (online),Systems & cloud|AI & machine learning,Online,Online,2027,,2027-02-17,2027-02-18,,2027-01-21,,,2027-01-21,Paper,See source,verified,Primary venue page,https://cfp.ninja/e/conf42-ml-2027,,
cug-2027,CUG,Cray User Group 2027 - Subsurface to Space: HPC at Extreme Scale,CUG proceedings; selected papers in ACM ICPS,ACM,Academic conference,HPC operations,Systems & cloud,"Houston, TX, USA (host: ExxonMobil)",In person,2027,,2027-05-09,2027-05-13,2027-01-21,2027-03-18,2027-02-18,2027-05-03,2027-01-21,Abstract,See source,verified,Primary venue page,https://cug.org/cug-2027-call-for-papers/,,
isc-bof-2027,ISC BoF,ISC High Performance 2027 - Birds of a Feather sessions,ISC Group,Other,Industry conference,HPC,Systems & cloud,"Hamburg, Germany",In person,2027,,2027-06-07,2027-06-11,,2027-01-21,2027-03-04,,2027-01-21,Paper,See source,verified,Primary venue page,https://isc-hpc.com/submissions/,,
agntcon-mcpcon-na-2027,AGNTCon+MCPCon NA,AGNTCon + MCPCon North America 2027 (Agentic AI Foundation),Linux Foundation / Agentic AI Foundation,Linux Foundation,Open-source meetup,Agentic AI|MCP,AI & machine learning|Open source & community,"San Francisco, CA, USA",In person,2027,,2027-04-28,2027-04-29,,2027-01-22,,,2027-01-22,Paper,See source,projected,Historical cadence projection,https://events.linuxfoundation.org/agntcon-mcpcon-north-america-2027/,,
